rfi_bin_bots,rfi_bin_tops,kurt
2508.5000038146973,2508.625003784895,199.59386201874844
2508.6250038146973,2508.750003784895,1493.2361250617441
2508.7500038146973,2508.875003784895,3107.558569167413
2508.8750038146973,2509.000003784895,87.78697735687791
2509.0000038146973,2509.125003784895,393.0773261614288
2509.3750038146973,2509.500003784895,10.813422896337075
2511.2500038146973,2511.375003784895,9.13057371723919
2515.8750038146973,2516.000003784895,2092.5747151768896
2522.7500038146973,2522.875003784895,18.045359457994017
2522.8750038146973,2523.000003784895,133.10011804982602
2524.7500038146973,2524.875003784895,94.52900387814253
2525.1250038146973,2525.250003784895,347.26092227954825
2526.8750038146973,2527.000003784895,896.6290902251345
2527.0000038146973,2527.125003784895,3902.4576800322834
2527.1250038146973,2527.250003784895,523.4669079480734
2527.2500038146973,2527.375003784895,1616.7147356925175
2527.3750038146973,2527.500003784895,10.17315042066517
2529.7500038146973,2529.875003784895,368.0127546748138
2532.0000038146973,2532.125003784895,1717.6647694613953
2536.6250038146973,2536.750003784895,16.086326480828802
2538.8750038146973,2539.000003784895,288.21449889701546
2539.0000038146973,2539.125003784895,3906.374756857776
2539.5000038146973,2539.625003784895,10493.531769480356
2539.6250038146973,2539.750003784895,7.715959183239795
2540.1250038146973,2540.250003784895,7284.186010400171
2540.2500038146973,2540.375003784895,5714.676093319441
2540.3750038146973,2540.500003784895,5154.133363908146
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
