all_bin_bots,all_bin_tops,all_kurt
2508.5000038146973,2508.5000038146973,199.59386668562357
2508.6250038146973,2508.6250038146973,1493.236155070175
2508.7500038146973,2508.7500038146973,3107.558570568261
2508.8750038146973,2508.8750038146973,87.78700536343575
2509.0000038146973,2509.0000038146973,393.0774824520312
2509.1250038146973,2509.1250038146973,-0.9015563517589356
2509.2500038146973,2509.2500038146973,-1.1860055461350072
2509.3750038146973,2509.3750038146973,10.813422693089727
2509.5000038146973,2509.5000038146973,-0.9150302191932171
2509.6250038146973,2509.6250038146973,-1.183151487275569
2509.7500038146973,2509.7500038146973,-0.89345323882951
2509.8750038146973,2509.8750038146973,-0.07612731495587166
2510.0000038146973,2510.0000038146973,-0.1004378443159677
2510.1250038146973,2510.1250038146973,-0.9087295907684045
2510.2500038146973,2510.2500038146973,-1.1867593489645973
2510.3750038146973,2510.3750038146973,-0.9217187577827954
2510.5000038146973,2510.5000038146973,-0.9200001644880755
2510.6250038146973,2510.6250038146973,-1.1869163761703418
2510.7500038146973,2510.7500038146973,-0.8916809596119455
2510.8750038146973,2510.8750038146973,-0.04333695991423614
2511.0000038146973,2511.0000038146973,-0.010338173968560849
2511.1250038146973,2511.1250038146973,-0.9141319695029964
2511.2500038146973,2511.2500038146973,9.130571630697057
2511.3750038146973,2511.3750038146973,-0.9265658459141668
2511.5000038146973,2511.5000038146973,-0.9299509283116993
2511.6250038146973,2511.6250038146973,-1.1905959576063756
2511.7500038146973,2511.7500038146973,-0.8895489119892921
2511.8750038146973,2511.8750038146973,-0.05507014555545808
2512.0000038146973,2512.0000038146973,-0.03873316410550931
2512.1250038146973,2512.1250038146973,-0.901504957361591
2512.2500038146973,2512.2500038146973,-1.1869419833559833
2512.3750038146973,2512.3750038146973,-0.9168290683947862
2512.5000038146973,2512.5000038146973,-0.9044288190465548
2512.6250038146973,2512.6250038146973,-1.1803198072531702
2512.7500038146973,2512.7500038146973,-0.8905770223790843
2512.8750038146973,2512.8750038146973,-0.07477781734189337
2513.0000038146973,2513.0000038146973,-0.05315869345357127
2513.1250038146973,2513.1250038146973,-0.9049559894335659
2513.2500038146973,2513.2500038146973,-1.1867871085172832
2513.3750038146973,2513.3750038146973,-0.9142486445953333
2513.5000038146973,2513.5000038146973,-0.9141728999040528
2513.6250038146973,2513.6250038146973,-0.8492262678932225
2513.7500038146973,2513.7500038146973,-0.892127544431152
2513.8750038146973,2513.8750038146973,0.02306072442667606
2514.0000038146973,2514.0000038146973,-0.03274452374059189
2514.1250038146973,2514.1250038146973,-0.8989532658731716
2514.2500038146973,2514.2500038146973,-1.1885376181626415
2514.3750038146973,2514.3750038146973,-0.9327936485169324
2514.5000038146973,2514.5000038146973,-0.9136191885567313
2514.6250038146973,2514.6250038146973,-1.19371404964447
2514.7500038146973,2514.7500038146973,-0.9087934213220792
2514.8750038146973,2514.8750038146973,-0.10314543141528665
2515.0000038146973,2515.0000038146973,-0.06024882831795386
2515.1250038146973,2515.1250038146973,-0.8689269503853319
2515.2500038146973,2515.2500038146973,-1.1776998531449587
2515.3750038146973,2515.3750038146973,-0.9027976951819392
2515.5000038146973,2515.5000038146973,-0.8939326205789673
2515.6250038146973,2515.6250038146973,-1.1818334899237875
2515.7500038146973,2515.7500038146973,-0.8795343634434096
2515.8750038146973,2515.8750038146973,2092.5748766932534
2516.0000038146973,2516.0000038146973,-0.06962346642427963
2516.1250038146973,2516.1250038146973,-0.8896091163617403
2516.2500038146973,2516.2500038146973,-1.1881354720474475
2516.3750038146973,2516.3750038146973,-0.914856828140374
2516.5000038146973,2516.5000038146973,-0.9183419582399526
2516.6250038146973,2516.6250038146973,-1.1801562073655831
2516.7500038146973,2516.7500038146973,-0.9025254742704045
2516.8750038146973,2516.8750038146973,-0.05370473299266765
2517.0000038146973,2517.0000038146973,0.08016398744436559
2517.1250038146973,2517.1250038146973,-0.8841365816723621
2517.2500038146973,2517.2500038146973,-1.1847597049259038
2517.3750038146973,2517.3750038146973,-0.9331826870760702
2517.5000038146973,2517.5000038146973,-0.9132270184158884
2517.6250038146973,2517.6250038146973,-1.1927338331713904
2517.7500038146973,2517.7500038146973,-0.8935552545913179
2517.8750038146973,2517.8750038146973,-0.096131355892072
2518.0000038146973,2518.0000038146973,0.03446778965204045
2518.1250038146973,2518.1250038146973,-0.8995551280929548
2518.2500038146973,2518.2500038146973,-1.1073177473684288
2518.3750038146973,2518.3750038146973,-0.9186213600799071
2518.5000038146973,2518.5000038146973,-0.9136304047407076
2518.6250038146973,2518.6250038146973,-1.1843980145740813
2518.7500038146973,2518.7500038146973,-0.8812525618977443
2518.8750038146973,2518.8750038146973,-0.07586347874111965
2519.0000038146973,2519.0000038146973,-0.055646328435133174
2519.1250038146973,2519.1250038146973,-0.9063270399388217
2519.2500038146973,2519.2500038146973,-1.1877999560739132
2519.3750038146973,2519.3750038146973,-0.932307020476935
2519.5000038146973,2519.5000038146973,-0.8775560351078351
2519.6250038146973,2519.6250038146973,-1.1850092959880523
2519.7500038146973,2519.7500038146973,-0.8964302643745388
2519.8750038146973,2519.8750038146973,0.032898809969739595
2520.0000038146973,2520.0000038146973,-0.08540824157835036
2520.1250038146973,2520.1250038146973,-0.896568637364004
2520.2500038146973,2520.2500038146973,-1.1874559130045048
2520.3750038146973,2520.3750038146973,-0.9243260603917234
2520.5000038146973,2520.5000038146973,3.0861844201613415
2520.6250038146973,2520.6250038146973,-1.182917984832241
2520.7500038146973,2520.7500038146973,-0.898856959688811
2520.8750038146973,2520.8750038146973,-0.06842331234186894
